Guest Stars,Settings,Situations
Rick from Rick and Morty,Taco Bell,<character1> and <character2> mysteriously end up at <setting>
Drake the Rapper,Pizza Hut,"<character1> and <character2> replace Drake and Josh in Drake and Josh, and meet <character3> at <setting>"
Brad Pitt,The Combination Pizza Hut and Taco Bell,<character1> and <character2> get in a duel to the death at <setting>
Paul Rudd,Subway,<character1> and <character2> get a great idea at <setting>
Bradley Cooper,Panda Express,"<character1> and <character2> get intimate at <setting>, until <character3> rudely interrupts them"
Kanye West,McDonald's,"<character1> and <character2> decide to watch a movie at <setting1>, then decide to go to <setting2>"
Donovan Mitchell,Burger King,"<character1>, <character2>, and <character3> decide to start a band, and plan to perform at <setting>"
Ray Allen,Denny's,<character1> and <character2> hatch a devious plan in the middle of <setting>
Cartman from South Park,Shake Shack,"<character1> is stuck in <setting>, and is scared for their life. They need to depend on <character2> to save them"
Spongebob Squarepants,Whataburger,"<character1> and <character2> have their weekly podcast episode, featuring guest star <character3>"
Drake from Drake and Josh,Hooters,"<character1>, <character2>, and <character3> are stuck on a remote deserted island, and must fend for themselves to survive"
Josh from Drake and Josh,The Apple Electronics Store,<character> goes trick or treating at <setting>
iCarly,Radioshack,<character1> and <character2> are running from the police at <setting>
Carly Rae Jepsen,ZIPS dry cleaning service,"<character1> is working on a project with <character2>, but things are not working out as they should"
John Fitzgerald Kennedy,Chipotle,"<character1> is attending school at <setting>, and suddenly meets the love of their life, <character2>"
Donald Trump,Freddy Fazbear's Pizzaria,<character1> is doing drugs at <setting> and <character2> joins in
Barack Obama,Duke University,<character1> commits war crimes with <character2> at <setting>
Jimmy Carter,Ohio State University,<character1> becomes an alcoholic and meets <character2> at alcoholics anonymous
The Impostor from Among Us,The National Mall,<character1> meets <character2> at a pie eating contest at <setting>
Tyler Ninja Blevins,The White House,"<character1>, <character2>, and <character3> help with the Manhattan Project"
Pokimane,Pearl Harbor,"<character1> is sent to a fantasy world and forsakes their old life, to pursue a life in a virtual game where fantasy races, fauna and flora flourish at <setting>"
Tyler1,Akihabara,"in a post apocalyptic world, <character1> and <character2> have to make a trek from <setting1> to <setting2>, and must fight fungus-infected zombies along the way"
Patrick Star from Spongebob Squarepants,Tokyo,<character1> and <character2> have to work out their differences as they work their way through gods that are attempting to kill them
Squidward Tentacles,Shibuya,"<character1> and <character2> live on the bebop from cowboy bebop, and must take bounties to make ends meet"
Heisenberg from Breaking Bad,Washington DC,"<character1> and <character2> live in the slums, and are given an opportunity to work for <character3>, in which they may acquire wealth beyond their imagination"
Gus Fring from Breaking Bad,Vancouver Canada,"<character1> and <character2> play Magic: The Gathering at <setting>, however neither of them are playing fair"
Tuco from Breaking Bad,Quebec,"<character1>, <character2>, and <character3> live together on a pirate ship and are sailing towards <setting>"
Jesse Pinkman from Breaking Bad,Wales,"<character1> and <character2> search for treasure in the jungle, only to find <setting> in the middle of the vegetation"
Aaron Paul from Breaking Bad,The Guiness Beer Brewery,"<character1> is a superhero, and must fight <character2>, the supervillain, in <setting>"
Skyler White from Breaking Bad,Chicago,<character1> is making a commercial for Reese's Puffs at <setting>
Saul Goodman from Breaking Bad,"Cleveland, Ohio","<character1> is taking a test, and decides to look off of <character2>'s test, but they are not having it"
Morty from Rick and Morty,San Francisco,<character1> breaks into <character2>'s home with intent to tell them about their car's extended warranty
Jacksepticeye,a quiet suburban home,<character1> is making an ad for NordVPN and needs <character2>'s help writing the script
Markiplier,a noisy urban apartment,"<character1> orders pizza from <setting>, but then something strange happens"
Joe Biden,a peaceful rural farm,"<character1> is stuck in a forest, and has to escape from the scary <character2>"
Joe Rogan,Case Western Reserve University,<character1> is trying to make a science project for school and asks <character2> for help
Seth Everman,,"<character1> and <character2> replace Sam Puckett and Carly Shay in an episode of iCarly, with guest star <character3>"
Ben Shapiro,,"<character1> and <character2> replace Tori Vega and Jade West in an episode of Nickelodeon's Victorious, featuring guest star <character3>"
Tucker Carlson,,"<character1> and <character2> replace Jerry Seinfeld and Cosmo Kramer in an episode of Seinfeld, featuring guest star <character3>"
Anderson Cooper,,"<character1> and <character2> replace Zack Martin and Cody Martin in an episode of the Suite Life of Zack and Cody, featuring guest star <character3>"
Mark Cuban,,"<character1> replaces Cory Baxter in an episode of Cory in the House, featuring guest star <character2>"
Harrison Ford,,
Mark Hamill,,
Ronald McDonald,,
Hannah Montana,,
Miley Cyrus,,
Billy Ray Cyrus,,
Beyonce,,
Rihanna,,
Chris Brown,,
Lebron James,,
Kevin Durant,,
Kobe Bryant,,
Travis Kelce,,
Trae Young,,
Yung Gravy,,
Masahiro Sakurai,,
Mariya Takeuchi,,
City Pop artist Anri,,
Tyler the Creator,,
Tom Brady,,
Bo Jackson,,
PewDiePie,,
Harambe,,
Linus Tech Tips,,
The Lock Picking Lawyer,,
Freddy Fazbear,,
Purple Guy from Five Nights at Freddy's,,
Lucina from Fire Emblem,,
Marth from Fire Emblem,,
Roy from Fire Emblem,,
Chrom from Fire Emblem,,
Corrin from Fire Emblem,,
Robin from Fire Emblem,,
Super Mario,,
Elon Musk,,
Tom Hanks,,
Morgan Freeman,,
Sephiroth,,
Jeff Bezos,,
Samus from Metroid,,
Snake from Metal Gear Solid,,
Sonic the Hedgehog,,
Eggman from Sonic the Hedgehog,,
The Joker from Batman,,
Batman,,
Robin from Batman,,
Nightwing from Batman,,
Arnold Schwarzenegger,,
The Terminator,,
The T-1000 from Terminator,,
Rick Moranis,,
Sigourney Weaver,,
Lance Hendrikson,,
Edward Norton,,
Angelina Jolie,,
Jennifer Aniston,,
Leonardo Dicaprio,,
Keanu Reeves,,
Liam Neeson,,
Macaulay Culkin,,
JPEGMAFIA,,
Danny Brown,,
BROCKHAMPTON,,
Frank Ocean,,
Tim Allen,,
David Attenborough,,
Benedict Cumberbatch,,
Chris Evans,,
Kendrick Lamar,,
Lil Wayne,,
Playboy Carti,,
Earl Sweatshirt,,
Denzel Curry,,
Jay-Z,,
XXXTENTACION,,
MGMT,,
Tame Impala,,
Daft Punk,,
Nas,,
Hungrybox,,
Samuel L Jackson,,
Quentin Tarantino,,
John Travolta,,
Uma Thurman,,
Ronald Reagan,,
Steve Jobs,,
Calvin from Calvin and Hobbes,,
Curious George,,
Nathan Fielder,,
Keegan Michael Key,,
Danny Devito,,
Charlie Day,,
Stewie from Family Guy,,
Peter Griffin from Family Guy,,
Superman,,
Lois Lane,,
Peter Parker,,
Spider Man,,
Christian Bale,,
The Riddler from Batman,,
The Penguin from Batman,,
Moriarty from Sherlock,,
Sherlock Holmes,,
Dennis the Menace,,
